TimeSeriesResponse{metaData=MetaData{information=Intraday (5min) open, high, low, close prices and volumesymbol=IBMlastRefreshed=2023-11-17 19:55:00timeZone=US/Easterninterval=5minoutputSize=Compact}, stockUnits=[
StockUnit{open=152.98, high=153.08, low=152.98, close=153.08, adjustedClose=0.0, volume=63, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:55:00}, 
StockUnit{open=152.98, high=152.98, low=152.98, close=152.98, adjustedClose=0.0, volume=3, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:40:00}, 
StockUnit{open=153.0, high=153.03, low=152.75, close=152.88, adjustedClose=0.0, volume=20, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:25:00}, 
StockUnit{open=152.97, high=152.97, low=152.97, close=152.97, adjustedClose=0.0, volume=2, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:20:00}, 
StockUnit{open=153.09, high=153.09, low=153.09, close=153.09, adjustedClose=0.0, volume=5, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:15:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=1, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:10:00}, 
StockUnit{open=152.89, high=152.89, low=152.89, close=152.89, adjustedClose=0.0, volume=1190606, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 19:00:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=9, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:45:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=2, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:40:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=23, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:35:00}, 
StockUnit{open=152.89, high=152.89, low=152.73, close=152.73, adjustedClose=0.0, volume=1190608, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:30:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=25, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:25:00}, 
StockUnit{open=153.08, high=153.08, low=153.08, close=153.08, adjustedClose=0.0, volume=1, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:10:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=3, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:05:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=14, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 18:00:00}, 
StockUnit{open=152.73, high=153.07, low=152.73, close=152.73, adjustedClose=0.0, volume=46, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:55:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=18, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:50:00}, 
StockUnit{open=152.73, high=153.0, low=152.73, close=152.73, adjustedClose=0.0, volume=14, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:45:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=27, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:40:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=18, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:35:00}, 
StockUnit{open=152.73, high=152.73, low=152.73, close=152.73, adjustedClose=0.0, volume=7, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 17:30:00}, 
